Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
LOW_RAISE;38 468;42 569;35 132;40 108;43 367;43 569;30 445;38 390;44 853;45 816;42 539;43 318
HIGH_FALL;43 367;43 569;30 445;38 390;44 853;45 816;42 539;43 318;44 062;46 552;42 162;44 843
LOW_FALL;44 853;45 816;42 539;43 318;44 062;46 552;42 162;44 843;48 266;49 812;43 893;44 062
LOW_RAISE;44 062;46 552;42 162;44 843;48 266;49 812;43 893;44 062;49 351;50 661;47 128;48 255
HIGH_FALL;48 266;49 812;43 893;44 062;49 351;50 661;47 128;48 255;49 253;51 543;48 528;49 351
LOW_FALL;49 351;50 661;47 128;48 255;49 253;51 543;48 528;49 351;54 540;54 820;46 710;49 253
NEUTRAL;49 253;51 543;48 528;49 351;54 540;54 820;46 710;49 253;56 942;57 977;53 646;54 540
HIGH_FALL;54 540;54 820;46 710;49 253;56 942;57 977;53 646;54 540;55 328;56 949;54 612;56 942
LOW_FALL;56 942;57 977;53 646;54 540;55 328;56 949;54 612;56 942;58 001;59 552;54 000;55 328
LOW_RAISE;55 328;56 949;54 612;56 942;58 001;59 552;54 000;55 328;59 014;59 318;56 530;57 982
LOW_FALL;58 001;59 552;54 000;55 328;59 014;59 318;56 530;57 982;57 713;59 556;56 915;59 014
LOW_FALL;59 014;59 318;56 530;57 982;57 713;59 556;56 915;59 014;55 987;58 683;55 350;57 699
LOW_RAISE;57 713;59 556;56 915;59 014;55 987;58 683;55 350;57 699;56 863;58 334;55 427;55 987
LOW_RAISE;55 987;58 683;55 350;57 699;56 863;58 334;55 427;55 987;54 842;57 909;53 058;56 854
LOW_FALL;56 863;58 334;55 427;55 987;54 842;57 909;53 058;56 854;56 821;57 465;53 330;54 842
LOW_RAISE;54 842;57 909;53 058;56 854;56 821;57 465;53 330;54 842;57 016;58 973;56 306;56 826
LOW_FALL;56 821;57 465;53 330;54 842;57 016;58 973;56 306;56 826;57 685;57 948;56 130;57 016
NEUTRAL;57 016;58 973;56 306;56 826;57 685;57 948;56 130;57 016;56 812;58 459;56 726;57 700
LOW_FALL;57 685;57 948;56 130;57 016;56 812;58 459;56 726;57 700;52 991;57 295;52 871;56 803
LOW_RAISE;56 812;58 459;56 726;57 700;52 991;57 295;52 871;56 803;54 456;55 191;52 408;53 006
HIGH_RAISE;52 991;57 295;52 871;56 803;54 456;55 191;52 408;53 006;55 180;56 369;53 913;54 456
LOW_FALL;54 456;55 191;52 408;53 006;55 180;56 369;53 913;54 456;53 297;55 289;52 689;55 067
LOW_FALL;55 180;56 369;53 913;54 456;53 297;55 289;52 689;55 067;48 065;54 363;47 110;53 297
LOW_RAISE;53 297;55 289;52 689;55 067;48 065;54 363;47 110;53 297;50 955;51 113;48 075;48 075
HIGH_RAISE;48 065;54 363;47 110;53 297;50 955;51 113;48 075;48 075;50 556;51 215;48 821;50 955
LOW_FALL;50 955;51 113;48 075;48 075;50 556;51 215;48 821;50 955;51 597;52 220;47 657;50 620
NEUTRAL;50 556;51 215;48 821;50 955;51 597;52 220;47 657;50 620;55 029;55 410;51 515;51 843
LOW_FALL;51 597;52 220;47 657;50 620;55 029;55 410;51 515;51 843;56 781;57 079;54 346;55 029
LOW_FALL;55 029;55 410;51 515;51 843;56 781;57 079;54 346;55 029;56 175;57 035;53 463;56 852
LOW_FALL;56 781;57 079;54 346;55 029;56 175;57 035;53 463;56 852;56 231;57 554;54 305;56 175
LOW_RAISE;56 175;57 035;53 463;56 852;56 231;57 554;54 305;56 175;60 843;60 966;51 907;56 239
NEUTRAL;56 231;57 554;54 305;56 175;60 843;60 966;51 907;56 239;61 977;62 490;59 747;60 843
HIGH_FALL;60 843;60 966;51 907;56 239;61 977;62 490;59 747;60 843;63 381;63 769;60 081;61 962
LOW_FALL;61 977;62 490;59 747;60 843;63 381;63 769;60 081;61 962;62 403;63 649;62 034;63 381
LOW_FALL;63 381;63 769;60 081;61 962;62 403;63 649;62 034;63 381;63 196;64 788;61 368;62 357
LOW_RAISE;62 403;63 649;62 034;63 381;63 196;64 788;61 368;62 357;60 000;63 621;59 783;63 196
LOW_FALL;63 196;64 788;61 368;62 357;60 000;63 621;59 783;63 196;59 607;61 224;59 429;60 011
LOW_RAISE;60 000;63 621;59 783;63 196;59 607;61 224;59 429;60 011;58 606;60 649;58 599;59 607
NEUTRAL;59 607;61 224;59 429;60 011;58 606;60 649;58 599;59 607;58 354;61 197;57 876;58 621
LOW_RAISE;58 606;60 649;58 599;59 607;58 354;61 197;57 876;58 621;57 677;58 879;57 473;58 354
NEUTRAL;58 354;61 197;57 876;58 621;57 677;58 879;57 473;58 354;56 221;58 134;55 752;57 681
LOW_RAISE;57 677;58 879;57 473;58 354;56 221;58 134;55 752;57 681;58 244;58 624;55 494;56 157
LOW_RAISE;56 221;58 134;55 752;57 681;58 244;58 624;55 494;56 157;58 800;59 469;57 391;58 244
LOW_FALL;58 244;58 624;55 494;56 157;58 800;59 469;57 391;58 244;58 030;59 231;56 886;58 810
NEUTRAL;58 800;59 469;57 391;58 244;58 030;59 231;56 886;58 810;58 038;58 463;56 504;58 030
LOW_RAISE;58 030;59 231;56 886;58 810;58 038;58 463;56 504;58 030;58 655;59 797;57 848;58 063
NEUTRAL;58 038;58 463;56 504;58 030;58 655;59 797;57 848;58 063;58 862;60 118;58 526;58 655
LOW_FALL;58 655;59 797;57 848;58 063;58 862;60 118;58 526;58 655;58 932;59 441;58 021;58 855
NEUTRAL;58 862;60 118;58 526;58 655;58 932;59 441;58 021;58 855;58 671;59 831;57 054;58 932
NEUTRAL;58 932;59 441;58 021;58 855;58 671;59 831;57 054;58 932;57 250;59 408;57 078;58 671
NEUTRAL;58 671;59 831;57 054;58 932;57 250;59 408;57 078;58 671;54 863;58 335;54 830;57 176
LOW_RAISE;57 250;59 408;57 078;58 671;54 863;58 335;54 830;57 176;55 909;56 616;54 740;54 863
LOW_RAISE;54 863;58 335;54 830;57 176;55 909;56 616;54 740;54 863;54 014;56 254;53 986;55 916
LOW_FALL;55 909;56 616;54 740;54 863;54 014;56 254;53 986;55 916;51 989;54 262;51 309;54 014
LOW_RAISE;54 014;56 254;53 986;55 916;51 989;54 262;51 309;54 014;54 175;54 175;50 485;51 989
LOW_RAISE;51 989;54 262;51 309;54 014;54 175;54 175;50 485;51 989;54 445;57 159;53 294;54 175
LOW_FALL;54 175;54 175;50 485;51 989;54 445;57 159;53 294;54 175;54 610;55 816;53 100;54 346
NEUTRAL;54 445;57 159;53 294;54 175;54 610;55 816;53 100;54 346;57 788;58 373;54 316;54 610
NEUTRAL;54 610;55 816;53 100;54 346;57 788;58 373;54 316;54 610;58 466;58 792;55 578;57 792
LOW_FALL;57 788;58 373;54 316;54 610;58 466;58 792;55 578;57 792;58 404;59 909;57 890;58 466
LOW_FALL;58 466;58 792;55 578;57 792;58 404;59 909;57 890;58 466;57 533;59 436;56 303;58 426
NEUTRAL;58 404;59 909;57 890;58 466;57 533;59 436;56 303;58 426;57 706;60 040;57 145;57 533
LOW_RAISE;57 533;59 436;56 303;58 426;57 706;60 040;57 145;57 533;56 392;58 197;54 298;57 834
NEUTRAL;57 706;60 040;57 145;57 533;56 392;58 197;54 298;57 834;56 398;56 952;53 311;56 379
LOW_RAISE;56 392;58 197;54 298;57 834;56 398;56 952;53 311;56 379;60 259;60 738;55 030;56 398
NEUTRAL;56 398;56 952;53 311;56 379;60 259;60 738;55 030;56 398;61 002;61 674;59 348;60 173
LOW_FALL;60 259;60 738;55 030;56 398;61 002;61 674;59 348;60 173;56 990;61 732;56 144;61 002
LOW_FALL;61 002;61 674;59 348;60 173;56 990;61 732;56 144;61 002;57 721;58 118;55 160;56 981
HIGH_RAISE;56 990;61 732;56 144;61 002;57 721;58 118;55 160;56 981;56 954;57 918;54 416;57 721
LOW_FALL;57 721;58 118;55 160;56 981;56 954;57 918;54 416;57 721;54 313;57 357;53 235;56 932
LOW_RAISE;56 954;57 918;54 416;57 721;54 313;57 357;53 235;56 932;51 883;54 818;51 448;54 313
LOW_RAISE;54 313;57 357;53 235;56 932;51 883;54 818;51 448;54 313;50 104;51 949;49 368;51 896
LOW_RAISE;51 883;54 818;51 448;54 313;50 104;51 949;49 368;51 896;48 592;51 343;48 552;50 104
LOW_RAISE;50 104;51 949;49 368;51 896;48 592;51 343;48 552;50 104;49 138;49 391;47 147;48 583
LOW_RAISE;48 592;51 343;48 552;50 104;49 138;49 391;47 147;48 583;47 917;49 442;46 472;49 138
LOW_FALL;49 138;49 391;47 147;48 583;47 917;49 442;46 472;49 138;50 952;51 777;47 555;47 924
LOW_RAISE;47 917;49 442;46 472;49 138;50 952;51 777;47 555;47 924;47 466;52 564;47 422;50 952
LOW_FALL;50 952;51 777;47 555;47 924;47 466;52 564;47 422;50 952;48 844;50 200;47 144;47 477
HIGH_RAISE;47 466;52 564;47 422;50 952;48 844;50 200;47 144;47 477;45 254;49 412;44 970;48 844
LOW_FALL;48 844;50 200;47 144;47 477;45 254;49 412;44 970;48 844;46 844;46 859;43 197;45 255
HIGH_RAISE;45 254;49 412;44 970;48 844;46 844;46 859;43 197;45 255;45 680;48 321;45 118;46 844
LOW_FALL;46 844;46 859;43 197;45 255;45 680;48 321;45 118;46 844;48 199;48 821;44 246;45 621
LOW_RAISE;45 680;48 321;45 118;46 844;48 199;48 821;44 246;45 621;48 720;52 054;48 119;48 199
